0,Sentiment
claudia,4
claudia,4
claudia,4
voten claudia,5
claudia,4
imaginate presidenta claudia titere lopez obrador,1
pues mejor obrador,3
claudia presidenta,5
perdon claudia mejor,4
mejores preparados amlo claudia dedicado toda vida prepararse presidencia,5
voto util claudia ayer dejo ver trae casi nuevo unico baso cosas hecho presidente,4
jaja eleccion existe voto util claudia sola preferencias electorales votos junto xochitl maynez acercan intencion voto d claudia jajs,1
claudia,4
claudia,4
claudia,4
claudia,4
dicen claudia,3
claudia maynez,4
creo propuesta buenas problema esque sabe si cumpliria mientras claudia,3
claudia,4
claudia,4
xochitl claudia,4
claudia,4
claudia,4
claudia,4
claudia,4
claudia tampoco,2
nah serio propuestas lanzo muchisimo mejores morena cualquier aspecto,2
morena ahi estan jajajaja,2
ve morena mexico amistad,3
si morena corrupto realistas politico corruptos,1
amlo tampoco cumplio aun asi defienden,2
unico q acuerdo q claudia saludos reggina,4
enserio claudia proponiendo darle dinero centroamerica si fueramos pais medidor,2
xochitl claudia maynez opcion apoyo amlo ahora voy fosfo fosfo,4
pues verdad tampoco claudia terrible maynez pusieron dividir votos,2
claudia xochitl do valen ver,4
claudia maynes,4
morena va mandar mexico pobreza maximum,1
acuerdo violencia trae ma violencia impunidad tambien trae ma violencia ademas morena conformado politico militantes partido tachas,1
amlo,5
amlo claudia,5
lit claudia quiere hacer mismo amlo,2
amlo,5
dado caso seria claudia pues morena existen politico pertenecieron pri puedes investigar,3
mainez quitarle votos claudia asi xoxhilt ma oportunidad,2
morena mejor opcion xochitl,4
prefiero claudia maynez callo bien buenas propuestas conozco,4
mainez titere morena,2
mismo q sheinbaum solo q cubierto jaj,2
basicamente claudia dijo presidente seguiria siendo amlo,2
egresado itam claro espero gane claudia,5
economia cayo segun jaja ultimo datos fmi ponen mexico economia numero nivel global solo gobierno amlo mexico avanzo puestos jajaja,1
trata seguir plan andres manuel,5
asi amlo continuar empezamos transformar,5
efectivamente puede ser ma amlo lover please,2
excacto baso toda frases amlo usa titere,2
largue morena presidencia,1
claudia maynez ma realistas con propuestas pri puede prometer final cumple,4
si sabes salio maynez sheinbaum verdad,3
aparte si pan bueno dicen narco precidente amlo felipe calderon garcia luna si senalados pruebas narcos,1
igual morena promete promete solo da largas despues culpar pri,2
claudia quiere darles dinero pais evitar migracion mexico cree va pagar,2
estan morena pri asi queridisimo amlo,3
verdad xochitl maynez estan tan listos verdad claudia sheibon ganaria,2
mainez quitarle votos claudia asi xoxhilt ma oportunidad,2
mainez quitarle votos claudia asi xoxhilt ma oportunidad,2
si mayoria usan servicios persona mayores ademas sirve tener historial clinico si insumos atenderte claudia ma realista,4
iba x claudia dijeron realmente excelente x c gusto ma maynez,5
violencia sigue pena nieto amlo hecho,1
maynez va penanieto pena apoya layda morena,3
ver claudia partidista nadie verdad propuso cosas ma tangibles realistas parte estaria bien siguiera morena mucha gente dice amlo,4
claudia propuestas realistas realizables,5
hagamos nueva revolucion asi vamos proximo presidente va ser piedra solo amlo hablo bien,2
mainez quitarle votos claudia asi xoxhilt ma oportunidad,2
amlo tambien peor puedes investigar aumentado corrupcion pelea narco brono rumores estadisticas nota,2
pues si sexenio lopez obrador sido ma violentos historia mexico ven positivo claudia si mismo,4
claudia duda maynez segundo lugar,4
si claudia gana cambiara constitucion quitaran bienes serum gobierno si si si vendes diran cuanto venderlo va parecer cuba si claudia gana,1
mayoria gobierno serum parte morena si gana claro podrian votos mayoritarios igual dijo debate,3
dijieron obrador nunca paso,1
votar maynez voto perdido claramente solo puede ganar claudia xochitl,1
jamas menciono posibilidad propuesta principal claudia si,1
cree necesito beca unico sirve claudia va terminar desastre haciendo amlo,2
mainez quitarle votos claudia asi xoxhilt ma oportunidad,2
creo indecisos apoyan xochitl odio hacia amlo maynez veran opcion apoyamos morenaamlo vamos claudia super convencidos,4
vaya ganando morena,5
vamos morena,5
do morena,5
van quieren seguir votando morena nambre jajajaja,1
bebe monera t van arrasar proxima elecciones jaja solo claudia intencion voto jaja seguir llo rando,1
admito q morena lleva gente w maynez va subiendo sabremos q pase maynez trae mejores propuestas ma morena peor bola corruptos,2
idea jovenes van claudia,4
do peso criterio vamos claudia jajajaja,4
pues si jovenes becas segun encuestas jovenes van claudia entonces quiero siga gobierno beca d jovenes jaja,3
van claudia mainez,4
claudia xochilt maynez segun encuestas jovenes,4
puro claudia,4
correcto buen iba claudia ahora voy maynez,2
voy claudia,4
tal vez voy maynez claudia,4
idea jesus aqui sabemos mama claudia resolvera,5
sabia voy claudia,4
jovenes vamos doctora claudia,4
voy claudia,4
si gente parece olvidar hace pri pri estan morena,1
mejor idea jovenes apoyan claudia quite becas solo calentar bancas,2
idea becas van morena,2
morena,2
pues morena,2
vamos claudia,4
creo vamos ma claudia,4
si w senora estan peor ayer esperaba ma claudia voy maynez,4
hace morena,2
viste respuestas claudia dios,1
creo ma decente claudia p q,4
maynez buenas propuestas solo meme gente vota claudia becas pensiones,3
quiere seguir claudia mexico siga siendo pais ma matan mundo,1
asi vivimos queremos queremos morena,1
peor ido sexenio dilo si continuidad sheinbaum,1
nose debate vi xochilt atacando sheinbaum decia preguntaban vi jaja,1
inicio debate ma note tiempos favor claudia tiempo daban responder,3
pues espera ma sheinbaum ma seguro cae zocalo tmb,3
pues claudia quiere ayudar centro americana f arreglar desorden pais,4
amlo propuesto programas conjuntos usa recibe mayoria migrantes mexico pais paso apoyen paises expulsores migrantes mejoren economias gente,5
amlo propuesto programa conjunto usa recibe mayoria migrantes mexico pais paso apoyen paises expulsores migrantes mejorar economias gente,5
supone amlo iba arreglar pais dejo peor alch morena solo carita bonita voy jorge m,1
claudiagano claudia presidenta,5
claudia presidente,5
mainez quitarle votos claudia asi xoxhilt ma oportunidad,2
vamos claudia sheibaum,4
cree claudia arreglo importa mexicopor favor,1
critico propuesta claudia queremos ma escuelas si maestro ciudad hace falta maestro,4
mejor claudia ma racional unico podria ser segunda opcion maynez xochitl peor,4
vivo miedo gane claudia,1
contradicen claudio comparen resultados propuestas mainez queden dicen solo asi sabran mejor quedar ignorancia,1
vivo miedo gane claudia,1
siga morena anospero tampoco ayudan,1
tranqui sabemos ganara claudia,1
gane claudia continue morena echemos dictadura pri,1
vivo miedo constante gane mainez siga idiota amlo xochitl,1
miedo ver gente apoya claudia x weeey,1
peor seria ganara xochitl claudia,1
claudia,4
solo idea proyectos siguen ganan claudia plan c,5
justo mismo puede hacer claudia dar toda propuestas cumplir entonces votariamos,4
mainez quitarle votos claudia asi xoxhilt ma oportunidad,2
claudia presidenta,5
claudia presidenta,5
viva claudia,5
verdad interesa quie gane mejores propuestas xochitl maynez claudia verdad siento preparada ser presidenta,4
si claudia,4
claudia doctora cientifica premio nobel parte proyecto fisica ambiental nino jaja unica tres si proyecto politico nacion,1
jajaja creo interesa gobierne claudia verdad,4
claro razon debemos interesarnos lopez hablador,5
