,0
0,mundo constante cambio momento cambiar significa siempre malo bueno puede ser bueno mejor
1,oigan maynez
2,mc acordaba candidato
3,maynez maynez maynez presidente maynezpresidente
4,maynez presidente
5,si maynez mejor
6,gente queria votar samuel menos peor interes votar movimiento ciudadano
7,buenas tardes gerardo independencia poca fama publica pasado priista cuales serian aspectos negativos maynez saluditos
8,maynez maynez mejor v opcion jovenes unirse maynez rescaten mexico
9,pues ahora mc tendra priista malos votarias
10,dijo movimiento ciudadano amor
11,mejor pongan samuel maynes mas conocido kunno
12,nadie quiere votar mc queriamos votar samuel si solo votamos menos peor voto realmente cuenta
13,enfoque punto vista parte mc pelear bien dices candidaturas estatales prioridad foco congreso
14,movimiento naranja turururu
15,maynez palabra aguda grave
16,maynez presidente
17,menos peor jorge alvarez maynes
18,voy votar movimiento ciudadano
19,movimiento ciudadano preocupa salud poblacion monterrey grandes cantidades co
20,maynez maynez presidente
21,pues propuestas mc tan chidas
22,postura justificada vez votar anula voto asi pueden amanar forma cumplir ciudadano expresar postura uwu
23,peor puedes hacer ciudadano forma votar persona x chiste hagas voto
24,jalisco mc decadencia endeudado
25,chiflar mouse movimiento ciudadano
26,candidato movimiento ciudadano parece ser buena opcion
27,importante ciudadanos denunciemos vemos irregularidades
28,entonces jorge maynez mejor opcion
29,opcion votar nisiquiera mc opcion
30,mundo constante cambio momento cambiar significa siempre malo bueno puede ser bueno mejor
31,oigan maynez
32,mc acordaba candidato
33,jorge duarte
34,siendo candidata momento demostrar diferente rechaze lista plurinominales tal vez asi si creamos diferente
35,hecho acuerdo dijo puede meter manos ahi momento inclusive afiliada ningun partido
36,maynez maynez maynez presidente maynezpresidente
37,maynez presidente
38,si maynez mejor
39,gente queria votar samuel menos peor interes votar movimiento ciudadano
40,buenas tardes gerardo independencia poca fama publica pasado priista cuales serian aspectos negativos maynez saluditos
41,maynez maynez mejor v opcion jovenes unirse maynez rescaten mexico
42,dijo movimiento ciudadano amor
43,pues ahora mc tendra priista malos votarias
44,mejor pongan samuel maynes mas conocido kunno
45,nadie quiere votar mc queriamos votar samuel si solo votamos menos peor voto realmente cuenta
46,enfoque punto vista parte mc pelear bien dices candidaturas estatales prioridad foco congreso
47,movimiento naranja turururu
48,maynez palabra aguda grave
49,maynez presidente
50,admitenlo maynez solo meme
51,movimiento meme
52,real companero salon dijo voy votar maynez solo cancion dije pero cancion va aportar pais dijo me vale boy votar cancion
53,maynez solo respalda musica forma hablar ahi solo meme
54,maynez merece ser presidente
55,remontando maynez
56,maynez solo pusieron quitar votos
57,eran maynez literalmente tomaron meme redes sociales
58,caray segun maynez crecio mas
59,simple gente vota maynez joven vale encuestas
60,maynez solo meme
