,0
0,pues lamentablemente solo seria parte morena estan favor inclusion extranjera
1,hizo video redes sociales exhortar vengan aqui nomadas digitales sheinbaum
2,debate va servir ver si votamos claudia ser menos peor verdad puede hacer cambio
3,cambio sheinbaum cambio supone cambio amlo
4,verdadero cambios jajajajja mismo deciamos amlo va terminar sexenio hecho
5,partidos estan llenos expriistas murat equipo claudia joyita
6,amlo tan lejos papito
7,so morena w
8,claudia sheinbaum pardo ganar apoyo total
9,asi es sheinbaum
10,colosio quiere dividir voto opositor hacerle favor morena
11,pura estrategia dante delgado quitarle votos xochitl hacerle favor amlo
12,puerto vallarta conocia voy claudia
13,parte estrategia mc golpear oposicion dividir voto haciendo camino mas facil morena
14,jajaj morena mejor errores imposible controlar a miles dirigentes pueden hacer voluntad dado mas resultados
15,p ahora morena estan viejo pri si votamos pri gaba pri si votamos morena gana pri
16,nuevo nuevo mismas manas bejarano barlett morena
17,entonces mismo priistas pan priistas morena diferencia da igual gane vida debe depender silla
18,pues quedo echo mexico aumentado economia voto morena
19,das cuenta mas priistas claudia xochitl
20,contado mas panistas prian q morena tambien ratas quiza mas nomas priistas
21,okay vota el indirectamente ayudando gane claudia sheinbaum
22,pues tal ves morena dio resultados buenos gente sabe prian anos dio devaluacion violencia negocios narcos
23,pues morena excelencia sido ano mas violento mas deuda publica mayor deficiencia sector salud pro prian
24,si sabemos coalicion prian corrupcion corre venas morena tambien puede haber corruptos quedan impunes
25,obvio si desvios sheinbaum
26,marcelo ebrard bueno dudo victoria sheinbaum solamente inicia desgaste morena
27,claro q marcelo ebrard mejor candidato q muppet claudia shenbaun si pongo tela juicio victoria
28,caso oposicion mismos mostraron prueba caso morena solo palabras primera ultima vez hablaran
29,morena prometio seguridad buen nivel economico pudo metro
30,pues si incluye claudia cdmx seguro digamos
31,creo si deben ser revelados diferencia xochitl claudia mostrado pruebas solo palabras
32,exacto parece esten igualdad condiciones xochitl confirmado caludia aun no
33,alguna forma evidente desviaron fondos recordemos ebrad alguien cercano ahi tmb pues obrador poder silenci
34,relacion contratos xochitl claudia pruebas veiamos precampana ilegalidad
35,claudia hoy pueblo
36,secreto sheinbaum mas gasto precampanas
37,ine revelo claudia gasto millones xochitl defendemos ine no
38,segun ine no xochitl millones claudia
39,diferencia xochitl ver solo lastre trae arrastrado partidos claudia ver
40,diferencia solo dicho pruebas escrito firmado ratificado marko claudia sigue plan
41,crees dia dificil claudia hoy siguientes dias xochitl tendra mismas preguntas detras acuerdos dano
42,tambien morena hace acuerdos mas obvio viendo presidente da puestos gente apoyo pasado gente preparada
43,bueno hacer demuestre dicho cuanto morena doy beneficio duda si creo capaces
44,perdi peinado xochitl que claudia que
45,vdd claudia ps tan mal si pri queria llegar altura morena debieron escoger beatriz anduviera votando beatriz
46,muchisimos escandalos tambien amlo
47,pensaran fin justifica medios estan haciendo innecesario sheinbaum siquiera necesita campana ganar cuenta
48,entendi comentario igual sugiero votar xochitl q quiero claudia si quiero mex
49,autonomas requieren voto popular puesto puesto gobernador administracion electa ustedes quieran vivir eutopia asi ahi ustedes
50,pues lamentablemente solo seria parte morena estan favor inclusion extranjera
51,hizo video redes sociales exhortar vengan aqui nomadas digitales sheinbaum
52,debate va servir ver si votamos claudia ser menos peor verdad puede hacer cambio
53,cambio sheinbaum cambio supone cambio amlo
54,verdadero cambios jajajajja mismo deciamos amlo va terminar sexenio hecho
55,mananeras solo servido favor presidente incumpliendo ciertas normas apoyar sheinbaum
56,conferencias matutinas claudia sheinbaum pardo
57,amlo puede hablar si puede hablar amlo deberian permitirselo increible ine permite
58,oh entiendo veremos si final amlo dicta agenda galvez
59,sabes q amlo memes q sacan
60,pues carisma carisma mas carisma gato se llama claudio francisco
61,justo acabo ver video dice lopez doriga mananeras solo perder tiempo
62,si bien claudia usa campana medios logros t xochitl medios logros presumir partidos respaldan
63,si periodistas echan flores ningun cuestionamiento seria tipo putin dictadora amlo trae estan acuer
64,pienso claudia
65,colonia mexico claudia
66,vale sonar mexico desperto gracias presidente amlo duela futura presidenta claudia sheinbaum pardo
67,casa mexico claudia sheinbaum
68,acuerdo vamos futura presidenta claudia sheinbaum
69,claudia presidenta
70,hay claudia sheinbaum va arrasar feo jamas llegara tobillos morena
71,reiteero voto masivo morena
72,voy x claudia
73,claudia presidenta
74,voy claudia
75,cree jajaja viva amlo viva claudia
76,morena existen corrupcion tan grande mas partidos odio deja ver razonar
77,corrupto amo dime trabajan hijitos
78,claudia proxima presidenta mayoria pueblo morena ardanse priandejos
79,convesiste voy votar claudia viva morena
80,claudia presidenta
81,claudia proxima presidenta mayoria pueblo morena ardanse priandejos
82,siiii carcel claudia muertos resbsamen
83,pero pero ganara morena inalcansable nadie podra ganarle asi reunan partidos
84,claudia presidenta
85,claudia proxima presidenta mayoria pueblo morena ardanse priandejos
86,buenos robar salen huyendo pais jajajajajaj plan claudia
87,ell proyecto xochitl galvez mejor claudia sheinbaum pardo continuidad seguir hundiendo pais
88,votar favor morena federal local
89,votar local federal favor morena diputados senadores presidente
90,hablando hijos presidente lopez
91,plan claudia cero votos claudia cero votos clara cero votos morena c carcel amlo
92,pagaron voy claudia quiero
93,puedes decir partido verdad dice pueblo pueblo manda arriba morena
94,claudia presidenta
95,ay wey quieres hablar numeros claudia
96,si va desaparecer empieza lopez beltran
97,jajajaja pues morena lleno corruptos habla
98,presidenta doctora claudia
99,pego dijo claudia sheinbaum pardo presidenta
100,acabo convencer voto claudia
101,claudia presidenta
102,arriba claudia
103,mas bien saben van perder menos pluris quieren asegurar votemos tambien diputados senadores morena
104,claudia plan voto masivo
105,aqui deberiamos dar cuenta gobernantes iguales claro mejor candidata xochitl tampoco claudia
106,pues pasara igual vote amlo pense cosas si cambiarian asi entonces creo prefiero
107,dicen estan favor morena videos ven cambios buenos gobierno solo quieren tenian mas ahora menos estan
108,base gobierno gusto quiero mas mismo base parece claudia mejor opcion
109,pues senor lopez tenia experiencia pudo hacer puede controlar hijos demosle oportunidad novatos mas mal puede ir dijimos votamos senor mira
110,si trabajo agarrar experiencia alguna forma si nunca podrias encontrar empleo saliendo escuela tenia experiencia claudia jefa gobierno verdad
111,aaaah tipico dice es vote amlo ahi sale
112,entonces si iguales xochitl mismo va claudia mismo va xochitl huele menos podrido morena
113,asi piensas preguntas cosas deben reclamar reporteros hacen pasa lado gustaria pregunte claudia
114,partidos estan llenos expriistas murat equipo claudia joyita
115,amlo tan lejos papito
116,so morena w
117,claudia sheinbaum pardo ganar apoyo total
118,asi es sheinbaum
119,colosio quiere dividir voto opositor hacerle favor morena
120,pura estrategia dante delgado quitarle votos xochitl hacerle favor amlo
121,puerto vallarta conocia voy claudia
122,parte estrategia mc golpear oposicion dividir voto haciendo camino mas facil morena
123,lit si supieran ejemplo propuestas copio xochitl claudia apenas
124,analizaste we debate mejor junto claudia ademas buen historia propuestas increibles
125,cambio claudia dice contruir hospitales primer nivel cada zona rural pais tenerlos bien equipados surtidos medicos enfermas rurales menos plaz
126,mas decentes ahi claudia maynez dos dan buenas propuestas dos serian buenos presidentes asi veas
127,aun asi maynez mejor candidato ellos claudia xocochil tambien maynez mejores propuestas opinion
128,invito leas propuestas claudia maynez facil convencerse maynez
129,verdad pa mainez unico dara perlea junio ganara claudia minima
130,estrategia politica lopez obrador daran cuenta final
131,no menos dinosaurio claudia rex jajaja
132,bueno minimo maynez xochitl gane claudia perfecto gane maynez bueno intentar nuevo
133,hecho hace meses hablaron preguntaron si representante morena votaria dijeron nombres modo respondi azar pq cansado esas encuestas
134,preocupa gane sheinbaun
135,wee neta amlo si paga mas asi tranquila gane pagara mas demas
136,dinero becas bro dinero robaban amlo quito pensiones expresidentes exdiputados dinero robado
137,solo quieren morena beca par hambreado trabajo flojos
138,persona dijo preocupa gane claudia dijo queria ganara maynez
139,gane sheinbaum si gana maynez xochitl verdad venezuela volveremos estabamos anteriores sexenios
140,mismo sheinbaum
141,ami xochilt jor gane sheinbaum mainez
142,preocupate llegue xochitl si claudia imaginate gane xochitl osea seria fraude
143,ps morena pesos fraccion salario minimo
144,claudia dijon va dar pesos canasta basica
145,si bueno maynez va ser mejor gobernador asi eh
146,claudia sheinbaum presidenta
147,si morena gana mexico hace dictadura xddd
148,k mejor claudia sheinbaum
149,xochilt memes maynes para spotify claudia presidenta
150,literalmente si votan claudia va traer comunismo mexico sabwn literalmente comunsimo qutan
151,rateros claudia mas dije auiere traer comunismo mexico explico ejemplo pulsera quito doy alguien mas injusto vdd
152,no claudia ratera mas capacitada madura
153,vv claudia va ganar asi guardate todas quejas
154,si votan claudia mexico comunista russia peor vdd
155,misma claudia lit campana misma
156,mas nas cosas q dice claudia cambios quiere hacer constitucion ejemplo quitar propiedad privada
