,0
0,maynez maynez maynez maynez presidente
1,maynez solo sigueb cancion
2,nadie topa maynes anuncio youtube
3,pocos valen mas millones conformamos movimiento regeneracion nacional
4,pa apunte maynez
5,creo ningun momento quise decir detalle
6,jorge alvarez maynez va partido movimiento ciudadano importante mexicanos solo enfocarnos prian morena tambien ver
7,plurinominal q postulo mc
8,solo movimiento ciudadano fosfo dieron permiso
9,maynez nuevo mexico
10,si movimiento naranja
11,maynez maynez maynez presidente
12,maynes maynes
13,mjr maynez maynez presidente
14,efecto lastima gracias gentrificacion inversion extranjera nearshoring ayuda ciudadanos
15,personas situacion pobreza estan disminuyendo mexico ciudadanos saliendo adelante inversion extranjera
16,mexico mejor momento vente trabajar aca
17,maynez mal convence si pais mal
18,votar maynez suena bien sabemos si va salir bien podria salir peor
19,vota maynez padre santo
20,dije solucion saber morena solucion nada prian tampoco movimiento ciudadano menos tan mal solo buscamos menos peor
21,sinceramente ayuden adultos mayores bien sabemos xochitl haria bien dijo fox dudo haga movimiento naranja
22,miedo gente estupida piense opcion viable pais momento morena
23,miedo persona voten maynes solo meme pena
24,ay si horror menos voten movimiento ciudadano
25,jajajja miedo el futuro pais los jovenes vayan votar maynes solo cancion pq les cae bien
26,miedo q vayan prian movimiento ciudadano
27,miedo van maynez ask
28,solo afirmas dolar perdio valor peor momento peso sexenio pena nieto si podria comprar kg
29,dolar aprecia especulacion inversionistas solo explicar actividad economica cualquier momento vuelve llegar
30,mintio cifras percepcion seguridad tema pandemia cierto uso conejo indias ciudadanos usando ivermectina medicamento parasitos
31,dejo usaran ciudadanos covid fundamento cientifico sirviera si sabes microbiologia farmacologia clasificaciones bacterias virus parasito hongos
32,jajajaj creeme dinero bastante verdad momento insulte simplemente aunque dieran dinero cambiaria bien si afecta demas
33,mejor opcion pri pan saben movimiento naranja narco mas raras movimiento tan solo vean alfaro tantos millones robo covid lemus socio
34,si checas puro escasos recurso ninguno dijo mc
35,movimiento ciudadano si vamos morena crezca pagaras dan ahora
36,entonces regresar robadera prian juventud vota prian viejos puro morena movimiento ciudadano
37,movimiento ciudadano
38,mejor maynes jaja gracioso hacen votar populismo
39,cobra beca si dejas estudiar w menos poli momento das baja dictaminas sacan programa sacas estudian cobran
40,debe haber conocido momento dictaminar darse baja quitaron beca luego luego reclama entrega hicieron mal uso beca
41,movimiento ciudadano
42,cosa saber propuestas trae maynez querer darle oportunidad partido politico diferente
43,broma visto puro nino quiere votar maynez solo pos canciones memes final argumentan q buenas propuestas
44,maynez maynez maynez presidente
45,pueblo pa miarda ciudadania pueblo pa ignorantes miardas narcos
46,voto claudia dependo ningun partido apoyo tarjeta algun momento tarjeta ayuda uso abue depositaban cada meses
47,votar maynez hacerlo mas decir
