,0
0,xochitl galvez
1,senora ridicula xochil pare payaso da
2,xochitl fogon infierno ratera corrupta delincuente vende patrias
3,xochitl galvez
4,ptm xochilt
5,chgtmadre xochitl
6,botarga inepta patetica corrupta
7,chicles gelatinas botargas saltitos chafadas
8,exacto xochitl galvez valla puesto gelatinas
9,si chingue xochilt brazito
10,usted votaria comediante xochitl pena nieto
11,jajajajaja xochil fraude chayoteros
12,vete argentina veas espera xochitl
13,tabasco mas millon van xochilt
14,oaxaca voto xochitl ridiculo generalice habemos si abrimos ojos
15,obvio xochitl
16,pri pan gracias
17,presienta xochitl
18,botarga menos lee horoscopos entrevista todavia dice cientifica da ascendiente tauro jajaja
19,plan carcel ratas narco asesinas
20,xochitl clown
21,bien ti arriba xochilt
22,hola queridisimo bot xochitl gano
23,xochitl galvez
24,xochitl galvez
25,cochitl masca chicle pega silla
26,xochitl preparada lejos ganar ser presidenta
27,xochitl galvez
28,tambien boto cochil galves pallasa vuena aser ridiculo
29,xochitl galvez luego
30,xochitl democracia mexico
31,xochitl galvez
32,voyo galvez
33,voyo va picar xochitl
34,viva xochitl
35,xochitl brincando
36,pobre xochitl siempre da nota
37,plan marcha
38,jajaja xochitl deja acordeones
39,plan urgen ayer
40,xochitl tenia dejar huella
41,lencho supone apartidista ahi andaba xochitl
42,jamas quiten si marcha bien vendida xochitl diciendo no
43,pregunto si estan seguros xochitl millones votos asegurados arguende virtualmente gano
44,pues deberia informarse usted mejor preocuparse pais vive si aca deberian botar saber
45,ay dios mio tanta queja veia asi pri pan gobernando si comentas
46,partido naranja sirve dividir aun mas oposicion pocos votos tenia xochitl dividan fosfo
47,vamos xochitl presidenta
48,pues xq representan mas partidos x ejemplo xochitl lanzo pri pan prd mientras q claudia morena pt verde
49,xochilt q hara si gana nda
50,cambiaria si dado buenos memes aunque botarga sola da buenos memes
51,visto entrevistas xochitl puede contestar preguntas relacionadas carrera jajjaajaj
52,botarga apenas contesta bien nombre jajajaja
53,xochitl solo rie pendej preguntan
54,hablan xochitl galvez
55,volver pan pri verdad vendieron pais aun asi gente quiere vuelvan
56,vamos xochitl galvez
57,xochilt rata
58,dijeron xochitl
59,xochitl xochitl xochitl pa casa roja
60,si gana xochilt va cambiar contrario triplicara inseguridad
61,lambiscon mas novelas televisa pri
62,felicidades manana mando pan
63,aja abrias pinche boca gobierno iso pri anos
64,botar jajajajajaja botar
65,si cundo escribiste botar lugar votar valiste
66,tambie queremos botar morena mexico votar xochitl
67,ja partido mas narc mexico pan garcia luna
68,botarga vende gelatinas millonarias
69,vean skin dicen xochitl
70,xochitl manchen pasan viendo memes
71,ame convenciste voy votar botarga
72,hahahahhahah foto perfil si vez morena hahahahah sabe morena hecho peor pri pan hahahahaha
73,xochitl neta
74,xochitl neta por
75,si claro xochitl presidenta
76,dicen xochitl neta
77,claro si xochitl mejor opcion
78,claro si xochitl presidenta
79,estan igual xochitl x
80,xochitl mas votos familiares amigos trabajadores voy convencer vamos salvar pais
81,ver deja escucho si buen punto xochitl va
82,xochitl galvez presidenta
83,chinga tu madre plan c y viva la
84,casi vas va afectar haga cochitl
85,xochitl presidenta
86,xochitl galves presidenta h
87,mexico unido xochitl venga
88,vamosss xochitl va ganar
89,arriba xochitl
90,mexico x xochitl
91,xochitl presidente
92,xochitl galvez
93,xochitl galvez vamos contigo
94,botarga mexico
95,tendre ntp xochitl presidenta mexico
96,cuanto pagan irle xochilt
97,xochilt presidenta
98,xochilt rata
99,vamos xochitl
100,tambien xochitl
101,jajaja veras junio botarga quedara perdedora aseguro aseguradamente
102,obvio xochil
103,pasa dicen xochtl
104,super xochitl galvez
105,video modo quieren aparentar xochitl alguna posibilidad
106,puro xochitl
107,queee xochil
108,ay derechairo si xochitl presidenta quiero ver alcance salario
109,nombre papito anos quitado prometieron mas aumentaron parece da miedo xochitl vaya retirar limosna bienestar
110,xochitl mejor
111,mejor mas pendejo q hizo pri poner mas pendejo pais si reclamo candidato verdad idioteces
112,xochitl solucion
113,solucion circo ultimamente divierte ir circo hace reir mas xochitl
114,puede caer fanatismo solo mas facil juzgar xochitl pues mostrado innovador difiere resto candidatos pan pri
115,peor xochitl momentos sabemos
