,0
0,claudia
1,claudia
2,claudia
3,voten claudia
4,claudia
5,imaginate presidenta claudia titere lopez obrador
6,pues mejor obrador
7,claudia presidenta
8,perdon claudia mejor
9,mejores preparados amlo claudia dedicado toda vida prepararse presidencia
10,voto util claudia ayer dejo ver trae casi nuevo unico baso cosas hecho presidente
11,jaja eleccion existe voto util claudia sola preferencias electorales votos junto xochitl maynez acercan intencion voto d claudia jajs
12,claudia
13,claudia
14,claudia
15,claudia
16,dicen claudia
17,claudia maynez
18,creo propuesta buenas problema esque sabe si cumpliria mientras claudia
19,claudia
20,claudia
21,xochitl claudia
22,claudia
23,claudia
24,claudia
25,claudia
26,claudia tampoco
27,nah serio propuestas lanzo muchisimo mejores morena cualquier aspecto
28,morena ahi estan jajajaja
29,ve morena mexico amistad
30,si morena corrupto realistas politico corruptos
31,amlo tampoco cumplio aun asi defienden
32,unico q acuerdo q claudia saludos reggina
33,enserio claudia proponiendo darle dinero centroamerica si fueramos pais medidor
34,xochitl claudia maynez opcion apoyo amlo ahora voy fosfo fosfo
35,pues verdad tampoco claudia terrible maynez pusieron dividir votos
36,claudia xochitl do valen ver
37,claudia maynes
38,morena va mandar mexico pobreza maximum
39,acuerdo violencia trae ma violencia impunidad tambien trae ma violencia ademas morena conformado politico militantes partido tachas
40,amlo
41,amlo claudia
42,lit claudia quiere hacer mismo amlo
43,amlo
44,dado caso seria claudia pues morena existen politico pertenecieron pri puedes investigar
45,mainez quitarle votos claudia asi xoxhilt ma oportunidad
46,morena mejor opcion xochitl
47,prefiero claudia maynez callo bien buenas propuestas conozco
48,mainez titere morena
49,mismo q sheinbaum solo q cubierto jaj
50,basicamente claudia dijo presidente seguiria siendo amlo
51,egresado itam claro espero gane claudia
52,economia cayo segun jaja ultimo datos fmi ponen mexico economia numero nivel global solo gobierno amlo mexico avanzo puestos jajaja
53,trata seguir plan andres manuel
54,asi amlo continuar empezamos transformar
55,efectivamente puede ser ma amlo lover please
56,excacto baso toda frases amlo usa titere
57,largue morena presidencia
58,claudia maynez ma realistas con propuestas pri puede prometer final cumple
59,si sabes salio maynez sheinbaum verdad
60,aparte si pan bueno dicen narco precidente amlo felipe calderon garcia luna si senalados pruebas narcos
61,igual morena promete promete solo da largas despues culpar pri
62,claudia quiere darles dinero pais evitar migracion mexico cree va pagar
63,estan morena pri asi queridisimo amlo
64,verdad xochitl maynez estan tan listos verdad claudia sheibon ganaria
65,mainez quitarle votos claudia asi xoxhilt ma oportunidad
66,mainez quitarle votos claudia asi xoxhilt ma oportunidad
67,si mayoria usan servicios persona mayores ademas sirve tener historial clinico si insumos atenderte claudia ma realista
68,iba x claudia dijeron realmente excelente x c gusto ma maynez
69,violencia sigue pena nieto amlo hecho
70,maynez va penanieto pena apoya layda morena
71,ver claudia partidista nadie verdad propuso cosas ma tangibles realistas parte estaria bien siguiera morena mucha gente dice amlo
72,claudia propuestas realistas realizables
73,hagamos nueva revolucion asi vamos proximo presidente va ser piedra solo amlo hablo bien
74,mainez quitarle votos claudia asi xoxhilt ma oportunidad
75,amlo tambien peor puedes investigar aumentado corrupcion pelea narco brono rumores estadisticas nota
76,pues si sexenio lopez obrador sido ma violentos historia mexico ven positivo claudia si mismo
77,claudia duda maynez segundo lugar
78,si claudia gana cambiara constitucion quitaran bienes serum gobierno si si si vendes diran cuanto venderlo va parecer cuba si claudia gana
79,mayoria gobierno serum parte morena si gana claro podrian votos mayoritarios igual dijo debate
80,dijieron obrador nunca paso
81,votar maynez voto perdido claramente solo puede ganar claudia xochitl
82,jamas menciono posibilidad propuesta principal claudia si
83,cree necesito beca unico sirve claudia va terminar desastre haciendo amlo
84,mainez quitarle votos claudia asi xoxhilt ma oportunidad
85,creo indecisos apoyan xochitl odio hacia amlo maynez veran opcion apoyamos morenaamlo vamos claudia super convencidos
86,vaya ganando morena
87,vamos morena
88,do morena
89,van quieren seguir votando morena nambre jajajaja
90,bebe monera t van arrasar proxima elecciones jaja solo claudia intencion voto jaja seguir llo rando
91,admito q morena lleva gente w maynez va subiendo sabremos q pase maynez trae mejores propuestas ma morena peor bola corruptos
92,idea jovenes van claudia
93,do peso criterio vamos claudia jajajaja
94,pues si jovenes becas segun encuestas jovenes van claudia entonces quiero siga gobierno beca d jovenes jaja
95,van claudia mainez
96,claudia xochilt maynez segun encuestas jovenes
97,puro claudia
98,correcto buen iba claudia ahora voy maynez
99,voy claudia
100,tal vez voy maynez claudia
101,idea jesus aqui sabemos mama claudia resolvera
102,sabia voy claudia
103,jovenes vamos doctora claudia
104,voy claudia
105,si gente parece olvidar hace pri pri estan morena
106,mejor idea jovenes apoyan claudia quite becas solo calentar bancas
107,idea becas van morena
108,morena
109,pues morena
110,vamos claudia
111,creo vamos ma claudia
112,si w senora estan peor ayer esperaba ma claudia voy maynez
113,hace morena
114,viste respuestas claudia dios
115,creo ma decente claudia p q
116,maynez buenas propuestas solo meme gente vota claudia becas pensiones
117,quiere seguir claudia mexico siga siendo pais ma matan mundo
118,asi vivimos queremos queremos morena
119,peor ido sexenio dilo si continuidad sheinbaum
120,nose debate vi xochilt atacando sheinbaum decia preguntaban vi jaja
121,inicio debate ma note tiempos favor claudia tiempo daban responder
122,pues espera ma sheinbaum ma seguro cae zocalo tmb
