,0
0,igual morena vv
1,mas logros menor edad significa bien preparado guiar nacion si claudia shoshil
2,si vale pena peliando comoquiera claudia obvio ganara aparte ayuda hecho amlo mas niveles aprobacion ahora veo rival fuerte
3,mas sensatez xochitl claudia
4,vamos votar el quizas puros no quiero votar morena pan gana
5,problema mayoria claudia va ir maynez entonces va terminar ganando xochitl votos dos van repartir
6,necesita voto inteligente maynez opcion entiendanlo favor morena ir
7,voto util voto prian si noquieren votar morena maynes opcion
8,garcia s morena abuelos reciben dinero mal agradecido
9,abuelos siempre recibieron apoyos cuales desaparecieron sexenio mal agradecido q morena constitucion estan establecidos apoyos
10,familia morena panistas segura maynez preparado
11,acabas ver lisa mejor preparada sheinbaum pese tener formacion derecho relacionadas politica mas trayectoria junto xochitl servidora publica
12,claudia sheinbaum correcta dirigir pais
13,claudia sheinbaum mujeres mas inteligentes politica mexicana
14,ay vv si hablamos preparacion orden seria asi claudia maynez ultimo chochil
15,mas preparado listado deberia ser maynez menos corrupto ahi galvez ultimo sheinbaum mas corrupta
16,experiencia gobernando dra claudia mas preparada luego xochitl final maynez ultimos dos nunca gobernando
17,claudia doctorado goberno capital pais jaja
18,claudia doctorado maestria
19,si quedaste video parte dice solo claudia gobernado alguna ocasion
20,claudia unica confio solo dudas pt verde mejor mexico
21,mejor bro literalmente seguira mismas ideas titere amlo sigue vieja politica
22,maynez super bien preparado estudios ser presidente si claudia
23,pues dos buena educacion dif claudia siempre cerca pueblo crecio asi maynez siempre cuna oro entonces pues sepa pueblo
24,mismo dije claudia conoce pueblo cerca maynez no privilegios
25,desconozco edad caso hijos pequenos quiero q libertad poder salir calle miedo q educacion libre imposiciones ideologicas claudia xk
26,claudia solo promete cosas pueden cumplir quedo bastante grande puesto ahorita morena respondido prometio amlo
27,faltaron agregar mas estudios claudia
28,claudia tirando linea
29,igual claudia acta nacimiento pirata nacio cdmx aun distrito federal
30,si echo mas joven visualisa mas futuro nuevas tegnologias nuevos pensamietos y quieren austeridad nejo amlo
31,claudia sheinbaum mujeres mas inteligentes politica mexicana
32,pues obvio no mejor morena si
33,decir ganar sinceramente xochitl claudia convencen habra ver bien candido mc
34,pues mas trayectoria amlo
35,tabla sheinbaum
36,mejor preparada claudia maynes trae mejores propuestas
37,dos estan bn preparados maynez siendo mas joven q claudia demuestra apto propuestas buenas igual q dijeron activi q participo mejor
38,experiencia claudia dejado fallcids
39,experiencia claudia abre adminiatrat cdmx dejarla peor q
40,depende perspectiva mire uno creo mas difunto carlos bremer xochitl aman odian claudia simple hecho ser opositores
41,tampoco malo embargo prian morena sabemos si espera malo vivido
42,bueno sancionaron morena
43,claudia xochitl mas
44,jajajaajaa oilo claudia solea botarga maynez
45,pfff maynez nunca dijo nada claudia parecia podia sacarle maynez contraio maynez saco botarga
46,david pina claudia xochitl mas
47,we claudia maynez
48,basto ver q hizo morena pais van votan vez morena
49,hizo morena segun
50,salario minimo pena nieto pesos morena pesos
51,dice morena mejor opcion
52,kilo tortillas pena con amlo
53,amlo condecoro general cargo tiempo pena prometio resolverlo nunca hizo tapadera corruptos
54,dicen vean resultados solo bla bla bla dijo amlo cumplido menos mayoria resultado aqui va mas aya mas rata si resultado
55,prian echo perder tambien apoyo morena prian vivo solo entraron comprar empresas ranchos descaro
56,jajajajja pesos q compro morena voto hajajajajaja
57,llevara morena cuanto quieres apostar
58,pagan voltar morena
59,mismo subio amlo acuerdate amlo solo cuido macroempresa buen derechista
60,mismo pena subio menos pesos salir amlo mas pesos dices mismo
61,aumento narco aumento canasta basica gobernadores morena sirven pa jaja amlo dijo jajaj gente da risa quiere morena
62,chambeo regresa kinder q aprendas diferenciar q presidente hizo mas pais q demas morena q dedicaron robar marcela layda
63,x vamos claudia
64,vota morena kallt
65,llama conocer historia antecedentes candidatos obvio siguen morena
66,q vas conocer prudente hizo trabajo demas bola ratas morena
67,presidente si morena si
68,iniciar cambio necesita mexico tiempo dara razon morena correcto
69,respondiendo asi despues disfrutando apoyos dejo obrador bien mal mijo
70,mejor elimino comentario andes ardida
71,puro morena ala vrg
72,hizo repartir becas dinero robaban pais dar pensiones dignas ancianos dar apoyos madres solteras discapacitados construir dos refinerias tren maya dime
73,ver joven empezar becas dinero territorio federal dan obligacion aparte impuso presidente partido morena va ir dinero si campia partido sol
74,voto morena vi iso tambien si gracias sigamos votando morena
75,si beca va ir si gana moren entiende hablo pri hizo que amlo hizo layda marcela munoz no vez policias estatales
76,voy entrar provocaciones tampoco asepto argumentos siga viva engano voy morena
77,ust hablan atacan xochimilco solo ase ridiculo nla pobre asta peinita da bueno si ono quedate vamos morena dia veremos casilla dia callar
78,morena logro anos pri hizo anos
79,pregunte ademas morena hijo presidente amlo
80,amlo morena asi partido actualizese anticuado
81,pregunta iso morena dices iso pro pan anos si captas
82,xq vasto ver q hizo heroe presidente amlo eso seguiremos claudia
83,jajajaajajajaja solo amlo mija
84,sii patron amlo soporta mejor
85,si vio hizo morena pais espero claudia gane
86,solo amlo hizo ratitas morena
87,solo hablo experiencia personal entro morena cosas mejorado muchisimo abuelitos
88,q becas eso fuel presidente layda marcela bola ratas morena
89,q regresen na cierto q hoy dia gracias amlo bola ratitas inservibles morena vv
90,pues si va ganar morena de seguro prianista
91,hizo amlo marcela layda claudia
92,pues si doy entender hizo amlo bola ratas hundieron mexico porqueria
93,eso q experiencia mejor tmb temas dan propuestas sabemos si cumpliran menos sabe alguna forma q morena medio hace
94,gracias morena ranking economia mundial bajo deuda prian dejo claro votare anos ellos
95,qso amlo morena
96,mismo motivo seguira votando morena hizo pais
97,hizo amlo morena si vv
98,pues si amlo puede quedar toda vida pues votar partido
99,entiende corrupcion siempre das cuenta trabajo escuelas ahora mas politica menos morena dejo endeudados pandemia ah echo varias cosas
100,morena mija andres manuel bola inservibles demas morena
101,trabajo excelente k asiendo presidente andres manuel lopez obrador
102,viva amlo votare morena pri regrese desaparezca junto pan
103,bien ti voto comprado aun q morena vaya nd becas iran q federal solo cambia nombre
104,jajaja prian jamas hizo ara morena investiga bn solo vez malo prian jamas hizo mas bn si envolso
105,morena hizo mejor echo crees chochil maynez pueden
106,maynez hombre crees q q claudia morena mujer deberia ganar presidencia claro q xochilt mas q vetada
107,platicanos crack hizo morena pais
108,morena nonono amlo
109,amlo hizo mexico morena si
110,votar morena
111,volveremos votar morena volvera ganar prian nuncaa
112,pues mismo vv solo q morena pinta bonito
113,solito comiste chiste asi mentiras morena jajajajaja
114,dices prian anos anos siempre mismas ratas vamos morena
115,pues nunca dije nd hablaba morena comparacion bueno son iguales solo q morena pinta bonito
116,queremos mas asi pri anos deja criticar solo morena
117,va prian llorando gano amlo morena robo tampoco hizo mucho si quieren diferente voten morena prian
118,hizo morena pais mas sacarlo hoyo dejaron sabes q hizo presidente x mexico investiga si sabes hablar
119,ay mijo presidente layda marcela menos claudia
120,programan van enfadar morena van partido
121,hizo amlo layda marcela menos claudia
122,bueno q bien bueno q narco trafico aumento mas morena vrd
123,voy claudia siento
124,ay mijo hizo amlo layda marcela
