,0
0,si pri sabe mas robado pais
1,enrique pena venia gobernatura pri anos ahora gobiernos nuevos asi decirlo sabemos espera todas candidaturas muchas opciones seguir renovar
2,interesante que ofrece para importante salud educacion claro mas yo voy xochilt respeto mc de seguro lemus gana jalisco vamos mc vamos x
3,osea si xochilt opcion mas brillante
4,xochitl p r
5,maynez mas preparado luego galvez final cheunbam
6,xochil preparada
7,galvez solo ingenieria especializaciones cheunbam maestria aqui mas preparado maynez maestrias
8,xochitl jajajaja
9,galvez neta
10,si sabes xochitl copio tesis verdad
11,maruchan hoy mas preparada xochitl
12,xochitl presidente
13,xochitl galvez presidenta mexico
14,xochitl cierto
15,bueno tecnicamente ia s existen mediados s liberaron uso cotidiano aunque creo estudios xochil
16,exactamente sabian bien idiota mas votaron tenian algun tipo interes despensas daba pri votar guapo
17,hicieron coalicion unio prd pri pan vencer morena
18,xochitl habia problemas tesis
19,botarga telepronter puede hablar
20,dio cara xochitl nego
21,pregunta respetuosa xochitl cagado
22,checa trayectoria xochitl experiencia habla x si misma
23,maynez estrategia desviar votos oposicion asi votan desvian votos xochitl estrategia chaira
24,jajajaja si vamos votar xochil hacemos simpatiza realmente queremos presidente
25,bueno xochitl
26,neta no hecho ser pri quita toda credibilidad confianza pueda tener
27,recuerdo solo pri tambien pan prd
28,ser pan pri quita toda credibilidad puede decir mejores propuestas mundo pertenencia partidos evita totalmente creer puede cumplir mas minima palabra
29,mmm no puedo etiquetar buen video xochitl galvez si quieres
30,solo sopas autoritarismo destruccion democracia xochitl demostro q funciona peor nunca
31,xochitl dice cobol fortran especializo robotica
32,pues xochilt creo mejor
33,vamos xochitl
34,familia tambien apoya xochitl
35,equivocan primer trabajo xochitl vendiendo gelatinas
36,talvez robaron lados gente mala aca mejoro muchisimo
37,xochitl hermana carcel secuestro
38,urgen regresen pensiones millonarias expresidentes verdad bebe anda vota xochitl galvez hermana secuestradora
39,si pri robo mas
40,nah ninguno vale pena cuentas x importa pais hermano peje misma pruebas xochitl sabias
41,importa pais chamaco quieres siga dominando pri anos jajajaja ridiculo ves defendiendo indefendible
42,dijo q voy pri
43,dije ibas pri
44,q tenia q ver pri xd
45,pri pan robaban
46,robo mas pri pan anos q gobernando x dios gente mensa abrimos ojos
47,si sabes pena pri no
48,necesitamos pruebas reales publicalos investiga subelos hables habalr hace xochitl
49,alguien puede decir pregunto senor sientese nadie nombre xochitl aca puede ir
50,dijo pri xd vete sentar hijo debate perdiste jajaaja
51,tranquila dona belica solo pedi pruebas acusaciones comente pareces xochitl habla pruebas jajaja vaya estudiar senora
52,pri robo bandeja oro apuesto wue seguiras votando
53,bruuuu nadie dijo pri
54,pan ahora mismo enemigos buu
55,pesos jajaja imagina kilo tortilla si ganado pri pesotes salario minimo alto digo pena subio menos pesos sexenio jajaja
56,bruh q piensan q defiendo pri pan
57,iso echo gobiernos pan pri
58,diciendo pan pri
59,basto ver hizo pri anos
60,pri nadie dijo pri vato
61,hizo estimado alch llevo pais anos ultimos mejores mierda sexenios pri pan
62,dijo pri q traumado q hizo presidente rata layda marcela
63,nunca dije pri pan vv
64,vv q mejor q pan pri peorsito igual
65,basto ver hice pri mexico anos
66,dijo usted pri pri cuanto
67,ay wey estudia hecho pri pan
68,estudia ortografia logre comprender escribas primero hablaba pri pan wey
69,nunca dije pri vv solito llorando q nadie vino hablar
70,hoy esta digas pan pri mejor obsion sabiendo vendieron q pertenecia unidos
