,0
0,maynez mejor preparado puestos importantes anos creo momento quitar vieja politica darle oportunidad mas jovenes construir pais
1,maynez maestria derecho constitucional derechos humanos hace candidato mas apto
2,no veamos maestrias maynes buenas apenas anos
3,mc vieja politica disfrazada nueva politica
4,importante ver cada posgrado caso manera objetiva posgrados maynez mas peso vacante servicio publico
5,si gobernar pais gobernar pais tiened minimo gobernar ciudad maynez nunca goberno ninguna experiencia tiene samuel si
6,maynez jefe grupo
7,aun asi cae bien maynez
8,edemes maynez equipo consiguio dias vacaciones mencionan
9,oigan maynez siendo candidato interesante
10,quisiera votar maynez creo alcanza dar batalla
11,creo votare tambien mainez
12,maynez presidente
13,nombreeee literal solo carla maynez cuenta jajaja
14,verdad siento maynez preparado mejor opcion desafortunadamente parece elecciones dos candidatas
15,vamos maynez podriamos tener buen presidente
16,presidente maynez maynez maynez maynez presidente
17,manipularon frase voto util quitaron voz digan noalvotoutil primeros traicionarse si mismos voto maynes gane pierda quitaran voz
18,oigan gracias comentarios compartir postura votar maynez hacerlo nomas decir
19,checando creo maynez mejor preparado prudente
20,pues si aun duela mas maestrias maynez tene mas dos
21,maynez seguro prepara cocktails pegadores
22,mas curriculum maynez terminado universidad
23,maynez equipo consiguio dias vacaciones mencionan
24,maynez anos menor mas preparacion podria valer pena darle oportunidad alguien joven
25,alguien vive gobernado movimiento ciudadano digo
26,jal confirmo tambien municipio gobernado mc dioos
27,estan coalicion unico va partido maynez mc
28,maynez demostrado tener propuestas reales preocupacion jovenes buena educacion demosle oportunidad
29,maynez maynez maynezpresidente
30,maynes precidente
31,maynez presidente
32,maynez viene buenas propuestas
33,maynez maynez maynez presidenteeeee
34,obvio maynezzz
35,maynez puede posicionarse primer lugar menos meses un voto nulo seria igual
36,maynez mejores ideas para los jovenes basta gobiernen boomers
37,maynez hizo pre campana ilegal
38,maynez maynez maynez presidente
39,digo maynez pq jovencito
40,maynez maynez maynez presidente
41,maynez maynez maynez presidente
42,hizo pena nieto maynez pena vv
43,maynez menos peor
44,maynez bueno aun falta mas trayecto si sigue haciendo camino tal vez si llegue presidencia
45,momento presidente si aun falta ver propuestas todos ti
46,triste realidad votar menos peor si maynez menos peor
47,mejor alvarez
48,verdad mejor mas preparado puedo entender pueden preferir alguien mas controlan joven ciudadano libre
49,maynez admin pagina facebook
50,apenas conoci maynez convencio necesita meterle publicidad
51,maynez experiencia gran punto negativo solo sido diputado llevado control financiamiento
52,revisar propuestas experiencia gobernando maynez mejor experiencia final cuentas pregunta ira cumplir
53,preparada logica maynez mejor preparado
54,maynez conocimiento politico si estudiado honradamente puede administrar mejor leyes la pregunta si honrado
55,amor cosas propone maynez existen viables pinta suenan bonito perspectiva derecho verdad
56,maynez puede prometer luna sabe ganara entonces ofrece estrellas votos final mas votos mas dinero partido
57,maynez va ganar
58,manipularon frase voto util quitaron voz digan noalvotoutil primeros traicionarse si mismos voto maynez gane pierda quitaran voz
59,maynez mas preparacion orientada ser politico vendria bien considerando mayoria politicos mexicanos estudian
60,administracion publica mejor preparacion conocimiento leyes maynez tres maestrias relacionadas derecho administracion
61,maynez maynez maynez presidente
62,alvarez maynez ayudara mex
63,maynez mas preparado
64,maynes mas adecuado ocupar cargo duda usted mejor decision
65,recomiendo votar maynez ah buenas propuestas
66,vamos jorge alvarez
67,ay darle oportunidad alguien nuevo maynez
68,mejor preparado ser presidente maynez
69,digo maynez pensamientos claros desicivos
70,jorge ceo vlog jajaja dijo karina torres
71,siento maynez bien preparado ademas alguien joven comparacion candidatas debate gustaron propuestas
72,chales maynez mas preparado politicamente hablando menos conocido
73,maynez presidente
74,maynez dar contraria mujeres algun partido especial si cambiarle hallar verdadero cambio
75,mas preparada michelada maynez
76,maynez politico verdad namas juegan politica
77,maynez maynez maynez presidente
78,maynez maynez presidente
79,maynez opcion menos mala
80,maynez mas preparado sabiendo contendientes llevan anos
81,campeche movimiento naranja robo buen municipal corrio mucha gente ademas anterior alcalde profugo loco vota mc
82,jajajajaja pues sacalas senor presidente usted saber mas ciudadanos ridi
83,movimiento ciudado q hecho mas pais recorrido aun q campanas apoyado aun pedir voto acambio
84,maynez presidente
85,hablo movimientos ciudadano si merecen puestos
86,hizo ilustre ciudadano
87,votare maynez
88,maynez verdad pura gente cree ser hombre va hacer mejor
89,votar maynez hacerlo nomas decir
