,0
0,clauda ckaudia
1,apoco si fan bts apuesto visto ninguna propuestas solo votan morena regalan dinero tranquilos becas van pueden quitar dia va acabar
2,viva mexico democracia vamos claudia
3,perdio gelatinera levanta pueblo sufre neurosis cerebral igual q siguen gano claudia
4,es yo solo conozco candidata claudia
5,nunca votaria claudia votare plan todooo morena
6,diferencia claudia xochil definitivamente vamos claudia duda alguna
7,veracruz tuxtepec oaxaca vamos claudia sheinbaum personas vamos votar claudia sheinbaum mas vamos claudia sheinbaum
8,veracruz proporciona millones votos el votara x morena
9,oaxaca y si mayoria votaremos claudia pero aqui salina cruz jugando presidente ratota pero claudia si seguro
10,mas vamos claudia
11,exacto mas vamos claudia sheinbaum
12,claudia proxima presidenta
13,veracruz contentos morena estan rejas
14,acoso unico vamos claudia sheinbaum pueblos respaldan vamos claudia sheinbaum mejor abre ojos mas corrupcion
15,mas corrupcion osea queconfirmas mejorado pues claro morena basurero rateros politicos sido aceptados kks pobre ser chairo
16,chairo claudia dice botarga dice narcocandidata titere kks comos prefieras
17,pueblos respalda pueblo sabes cuanto pueblos ay van votar claudia sheinbaum mejor digas
18,gracias dios ratero amlo hijos
19,oaxaca gobernador morena obvio votar x mas personas reciben programas estan obligadas votar x claudia sector votara mas quizas x may xochit
20,necesitas mas mil apoyo masivo claudia
21,canada oaxaquena claudia
22,veracruz votare morena asi generalices
23,huevo arriba tuxtepec claudia desde cdmx tambien claudia botarga dice cuenta ala
24,unica dra claudia sheinbaum
25,dra claudia sheinbaum
26,dra claudia sheinbaum caso alguien mas
27,narco gobierno alcance familia votes provecho x kkclaudia
28,vamos morena
29,si alguien mas botarga fiesta gane claudia
30,extension peje aun entienden morena hizo dejo inseguridad obras construir
31,ofende pregunta claudia sheinbaum
32,piquetito jajajaa apoyo claudia
33,padres tios etc jajaja dales hagan fila asolen jajaja
34,claudia sheinbaun supuesto
35,claro mas ironia claudia sheinbaum
36,alguien claudia sheinbaum
37,porque frustrado enojado claudia sheinbaum va ganar
38,claro q si va ganar claudia
39,claudia sheinbaum
40,igual vuelva pasar viva cuarta transformacion
41,comparacion dra sheinbaum cientifica prestigio comentario sustento
42,deberia ofenderte amlo diga mascota poca dignidad
43,pues soberbia igual lopez ofende
44,minimo cuba venezuela extorsionaron lopez si
45,claudia sheinbaum duda
46,claudia sheinbaum presidenta
47,claudia presidenta
48,claudia unica capacidad gobernar pais mexico
49,claudia ganara
50,doctora claudia sheinbaum pardo vamos plan
51,diferencia claudia xochil definitivamente vamos claudia duda alguna
52,claudia presidenta
53,tramite ine solo claudia sheinbaum
54,excelente compa igual invitando raza aque aga seguir viejon puro morena compa animo
55,mayor parte acapulco claudia
56,presidenta dra claudia sheinbaum pardo
57,vamos x claudia tabasquenos seguimos firmes
58,diferencia abismal obvio mas apta partido fuere claudia sheinbaum
59,asi esa senora claudia gane matar ninos colegios caiga lineas metro es corrupta
60,pues claudia cerebro solo repite zombie dice peje habla propuestas adentro siempre anda megahueva
61,apta desviar recursos robar si corfirmo kkclaudia experta
62,claudia sheinbaum presidenta
63,claudia sheinbaum
64,obvio claudia sheinbaum presidenta
65,claudia sheinbaun presidenta
66,claudia presidenta
67,doctora claudia
68,claudia sheinbaum dudarlo
69,claudia sheinbaum bb
70,claudia sheinbaum
