,0
0,maynez siempre
1,bien ardidos chairos demuestran movimiento peor corrupto siempre yolanda maricarmen
2,maynez maynez maynez presidente maynez
3,disculpa mainez
4,candidato mc unico partido colgando satelites
5,jorge maynez
6,maynez
7,maynez
8,maynez
9,maynez maynez
10,maynez maynez
11,maynez
12,maynez
13,maynez
14,maynez
15,maynez
16,maynez maynez maynez presidente
17,literalmente maynez q demostro ma preparado q aquellas do
18,presidente mainez
19,maynez ofrece cosas realistas verdad
20,maynez ma realista hacer universidades nuevas si varias deben arreglar
21,asi maynez verdadera opcion
22,maynez mylov
23,ojala gente recapacite vaya lafinta apoyo maynez
24,maynes buchanan marketing bonito vale pa pura solo habla bonito asi momento hacia pena nieto
25,maynez presidente
26,maynez propuso ventanillas apoyo tramites alcaldias municipales
27,maynez agrado muchisimo
28,maynez peleando partido pierda registro unica mision
29,maynez puede ofrecer joyas corona sabe va ganar cumplir prometa ojito mcprian
30,q mayormente sucede ano creo q excepcioncomo ahora q andan diciendo q maynez vio ma coherente haber buenas propuestas cosa cumpla
31,p deberiame gustaria darte solucion momento si acaso proyecto migala falta
32,amando maynez ojala gane
33,ganara si apoyamos momento eleccion
34,tarjeta digital parece mala idea facilitaria proceso educacion gusta ma maynez sirve ma escuelas si existen estan buenas condiciones
35,problema solo regalando dinero dinero infinito llegara momento va terminar desaparecera ayuda
36,maynez maynez maynez presidente
37,pena propuestas buena pinta mero momento deja pueblo manos malos verdad fio
38,jorge tan mal
39,siento q propuestas maynez van bn
40,bueno ahora veo maynez ve bastante preparado
41,parece apoyo si necesita presidencia quiza ano momento movimiento ciudadano
42,maynez educacion bien
43,primer lugar maynez obvio
44,nombre votare maynez
45,idea casi jovenes van mainez
46,vrd si varios jovenes van maynez persona mayores
47,senora estan loquitas mainez tampoco mucha confianza
48,tan joven sabia maynez tener favoritismo color ma elocuente pensando
49,amigo vamos maynez
50,maynez mailovs
51,mainez anular voto aun convence va buen camino
52,claro si jovenes vamos maynez
53,vamos maynez
54,realmente maynez mejor opcion ayer sufrio ataque vio ma tranquiloy aun asi supo centrar ideasy verdad propuestas normalitas
55,maynez presidente
56,maynez maynez maynez presidente xd demasiado pegadiza jsjs
57,maynez
58,estan mame mainez pueden votar
59,vamos maynez
60,solo va mainez
61,si vamos maynez
62,dia recientes nadie sabia mainez bro
63,gracias movimiento ciudadano
64,presidente mainez mainez mainez
65,maynez ma enfocado ayudar jovenes educacion escuela salud etc
66,maynez distractor dividir voto util
67,maynez maynez maynez presidente
68,ayer viendo debate investigando propuestas vdd voy maynez jaja menos peor
69,seria terrible maynez divida voto oposicion idea narco presidente
70,ideala mayoria siquiera conocen maynez si van moda influencer llamada mariana tenis fosfo
71,mc pinta elecciones
72,maynez duda dio buenas propuestas do anduvieron payasas
73,mayoria conocidos mios estan apoyando maynez incluyo
74,maynes dijo mejor acer escuelas paises primeros mundos diviertan mientras estudian
75,escuelas tiempo completo momento excelente opcion madres trabajamos
76,mejor opcion maynez
77,pues maynez buenas propuestas
78,mejor maynez
79,si maynez mejor miedo
80,mainez mainez mainez precidente
81,propuestas maynez ma realistas posibles
82,maynez mejor
83,maynez pena nieto dejo claro propuestas ano vivo miedo
84,maynez presidente
85,nombre tener mc presidencia llevara declive logrado noo gracias
86,ve nuevo leon siendo ma desarrollado pais mc
87,maynez presidente
88,sabia maynez suena bastante bien dice cosas si ma congruentes hacer
89,maynez presidente
90,vivo miedo constante gane mainez
91,maynez mejor opcion
92,maynez voto
93,maynez bien falta experiencia haber gobernado parece complicado primer trabajo tomar cuenta diputado claro presidente pais
94,va ganar estrategia jalar bloque gigante indecisos si ganando paso quedar do lugar gano mainez
95,maynez maynez maynez presidenteee
96,maynez propuso cosas inteligentes
97,primera vez veo tal maynez
98,si equivoco samual garcia habia escuchado lanzaron maynez titere garcia despues quemado quedo
99,ig noremos objetivo maynes llegar presidencia sino nombre empiece conocer mundo politico
100,maynez maynez maynez presidente
101,exactamente farmacias bienestar podrian ser pretexto movimiento fondos nacion
102,maynez maynez maynez presidente
103,maynez tambien hablo hacer ma universidades
104,serviran universidades si empleo diferencia plantea maynez
105,pocas palabras maynes sabe imss tripartita trabajador empresarios
106,lado sugiere maynez viene siendo mismo hospitales nino mujer existen fecha reconocido logran cubrir requerimientos ofrecen
107,ayer conoci mainez jajajajajaa
108,maynez pena nieto dejo claro propuestas
109,mainez dijo queria legalizar marihuana vapes ventas
110,segun politologos propuestas maynez problema realizarlas mexico
111,propone maynez mismo pena compara propuestas ayuda menores quitando becas jovenes privatizando
112,maynez gana
113,maynez maynez maynez presidente
114,maynez
115,maynez mejor opcion
116,objetivo maynez poder darse conocer futuro
117,maynes
118,inseguridad va tocar tema algun momento
119,maynez
120,maynez
121,maynez vdd unico turbulencias ilegales asi decirlo campana
122,maynez maynez maynez presidente
123,maynez
124,maynez
125,maydez presidente
126,idea maynez quizas tan espectaculares demas candidatos ma realistas cumplir
127,maynez maynez maynez presidente
128,maynez parecen buenas propuestas voto seria util
129,propuestas maynez creo estan super bn problema esq si cumpla
130,ahora pienso maynez buenas idea
131,maynez ma realista centrado
132,maynez rato
133,presidente maynez
134,gran sorpresa maynez
135,maynez maynez presidente
136,gusto propuesta maynez cierto ninos votan pele
137,si supone objetivo gobierno pleno empleo tampoco bueno generar nuevos empleos veces innecesarios ciudadanos dependan gobierno subsistir
138,maynez presidente
139,arriba mainez
140,ahora conozco mainez bien
141,maynez maynez presidente
142,maynez maynez maynez presidente
143,voy maynez
144,creo maynes ma realista propuesta empresas tratos gobierno transparentes
145,maynez presidente
146,estan mainez cancion jaj
147,arriba mainez
148,voy maynez
149,ahora conozco mainez bien
150,mainez mecate
151,jorge mainez vamos marine
152,maynez maynez presidente
153,maynez maynez maynez presidente
154,creo maynes ma realista propuesta empresas tratos gobierno transparentes
155,momento agrada claudia mainez escucha mal aun dudas
156,maynez unico dando propuestas realmente si puedan realizar
157,maynez maynez presidente
158,maynez maynez maynez presidente
159,creo maynes ma realista propuesta empresas tratos gobierno transparentes
160,mainez mainezmainez
161,mainez convencio ma sras
162,aquella parte menciona movimiento feminista ma importante tiempo
163,primero ciudadanos
164,hecho maynes dijo quejamos tratan mexicano gringo peores migrantes propuso
165,maynez ma acertado dijo pais tendria etica moral inmigrantes mexico eua mejor tratados
166,neta maynes hace mal jajaja
167,maynez propuso implementar sistema apoyo psicologico escuelas capacitar maestro dar apoyo casos bullying
168,maynez unico menciono salud mental si recuerdo mal aunque chiripa
169,maynez unico concentrado campana pelearse candidatas
170,tener cuidado miedo fenomeno mc pues jovenes apoyan partidos menos politizados estan sinceros mc entiende funcuonan redes solo
171,estan aprovechando abriendose paso medios circunstancias q partidos estan desaprovechando q mc represente juventud nueva politica solo q esquema q saben usar
172,maynez voten
173,quieren gane maynez vean realidad actual monterrey nl samuel verdadero jefe maynez desastre total lados asi seria peor mismo
174,bloque mejor propuesta si podrian combinar varias si alguno gana serian buenas maynez lejos propuesta joya bajaria malos tratos
175,maynez unico dijo verdaderas
176,maynez unico dijo verdaderas
177,ningun pais presupuesta darle ciudadanos atencion hospitales particulares medicina propuesta loca
178,maynez presidente
179,maynes maynes maynes presidente
180,maynes trae idea buenas nuevas
181,verdad si gusto ma menciona maynez
182,movimiento comparte ideales linea trasada continuidad fortalecer mismo proyecto
183,maynez subio video tiktok unico tocado tema
184,maynez dio propuestas coherentes combinaban sector privado publico maynez poner atencion candidato
185,si maynez aliade
186,aqui ve mainez ma preparado obvio ganara mujer inclusion forzada pais tan necesaria importa si perjudica pais xd
187,mainez super preparado ocupas acido folico mijo
188,repito mainez super preparado
189,presidente maynez maynez maynez
190,dicen mainez deben buscar significado voto util puede mejorar mexico
191,maynez maynez presidente
192,saquen maynez partidoooooo jajaja
193,maynez va perder disfrutando
194,mainez dijo verdades do titeres
195,maynez da mismas vibe pena nieto
196,ay maynez mujeres hizo pena nieto
197,maynes igual pena nieto noooo
198,maynez presidente
199,ojala gane maynez propuestas si buenas waaaaa
200,diria top maynez realidad solo existen asi solo queda ver mejor
201,ningun pais presupuesta darle ciudadanos atencion hospitales particulares medicina propuesta loca
202,favor amigo jovenes maynez buena persona partido dejen llevar cancion trendy seria pena nieto
203,pena nieto tambien veia bien preparado aire ser propuesta fresca hacia nuevo pues sabemos paso maynes ve exactamente igual
204,salio maynez
205,maynez maynez maynez presidente
206,maynes ma realista
207,pregunta seria maynes juanito
208,maynez maynez maynez presidente
209,mainez mecate
210,maynez voten
211,verdad aunque maynez ma popular hizo mejores propuestas
212,quieren gane maynez vean realidad actual monterrey nl samuel verdadero jefe maynez desastre total lados asi seria peor mismo
213,serio si jovenes van maynez valimos ojala haga ley votar
214,votare maynez noma votar t
215,vamos maynez
216,maynes tan perdido
217,viva maynes
218,mainez dueno chaquetas
219,momento agrada claudia mainez escucha mal aun dudas
220,neta maynes hace mal jajaja
221,presentacion lenguaje senas maynez
222,maynez
223,diria top maynez realidad solo existen asi solo queda ver mejor
224,ojala gane maynez propuestas si buenas waaaaa
225,ahora conozco mainez bien
226,maynez maynez maynez presidente
227,maynez
228,maynez presidente
229,movimiento feminista ma importante ahi perdio aunque propuestas si bien encaminadas
230,maynez presidente
231,maynez
232,navegan saber realidad abajo ciudadana mejores propuestas puntos
233,va repetir movimiento ciudadano cmo nuevo leon caballo alcanza
234,vivo miedo gane maynez
235,maynez da gusto dio conocer ma
236,maynez maynez presidente
237,maynez mejor
238,maynez maynez maynez presidente
